semester,gender,collegeYear,height,weight,pulse,hsGPA,collegeGPA,SATM,SATV,shoeSize,fincialAid,tvHours,states,siblings,motherAge,fatherAge,salary
2,M,1,67,130,60,3.85,3.89,620,660,9.5,Y,6,46,1,51,51,150000
2,M,1,66,135,42,3.3,3.2,620,600,8.5,Y,6,35,3,44,48,28000
2,F,1,61.5,118,,,,,,6.5,Y,0,3,2,47,51,27000
2,F,1,71,135,114,4,3.92,640,660,9.5,Y,3,11,2,51,53,60000
2,F,1,64,118,90,3.98,3.83,560,640,9,Y,0,38,2,46,50,70000
2,F,1,67,130,70,3.88,2.8,600,620,9,Y,1,20,1,53,54,
2,M,1,64,130,72,3.4,2.44,580,600,9,N,4,8,2,53,,50000
2,M,1,73,165,58,3.67,3.75,690,690,12.5,Y,0.5,34,2,45,46,70
2,F,1,66,130,72,3.9,3.84,720,650,8,Y,4,38,3,51,54,50000
2,M,1,76,220,,3.9,3.83,790,660,13,Y,1.5,10,1,52,52,40000
2,F,1,67,150,78,3.98,3.25,640,600,9,Y,1,10,2,44,44,50000
2,F,1,68.75,160,90,3.98,,590,600,11,Y,8,20,1,50,49,50000
2,M,1,72,220,102,3.1,,630,,12,Y,,14,2,63,68,40000
2,M,1,70,165,96,4,3.84,700,650,11,Y,4,30,1,38,39,50000
2,F,1,65,130,88,3.8,2.75,,,8,N,2,11,0,52,50,45000
2,F,1,65,130,78,3.8,2.5,590,570,8,N,0,11,1,48,57,30000
2,M,1,65,125,80,3.95,3.25,720,610,9,Y,8,17,1,49,51,67.5
2,F,1,65,125,84,3.93,3.4,650,600,7.5,Y,2,30,1,48,55,30000
2,F,3,65,132,96,3.7,2.8,435,545,9,Y,10,4,3,56,73,35000
2,F,1,63,140,110,3.7,,610,620,8,Y,3,15,1,57,55,60000
2,M,1,72,166,,3.65,3.75,550,570,10,Y,2.5,15.5,2,46,46,25000
2,F,1,67,120,140,3.769,,570,390,8,N,3.5,20,2,47,46,65000
2,M,2,70,155,,3.5,2.9,700,650,10.5,Y,1,15,5,45,53,25000
2,F,1,66,150,,3.7,3.75,630,600,9,Y,2,15,2,47,50,25000
2,F,1,64,125,88,3.9,3.84,640,700,8,Y,1,30,3,42,47,
2,F,2,64,120,75,3.8,2.95,630,550,6.5,N,12,12,3,47,53,20
2,F,1,69,130,,3.6,3.4,600,600,8,N,2,20,0,53,54,
2,M,1,69,142,,3.23,3.42,640,670,10,Y,1,9,1,45,51,
2,F,1,68,175,,3.78,3.08,,,9.5,N,3,30,2,47,50,40000
2,F,1,61,90,,3.6,3.333,670,590,6.5,Y,0,2,1,51,51,
2,M,1,68,175,,3.5,2.5,,,10.5,Y,10,6,6,52,47,30000
2,M,1,75,200,,3.9,3,590,670,13,Y,0,7,2,43,45,50000
2,F,1,60,175,90,3.74,2.67,520,530,10,Y,1,11,4,46,57,
2,F,1,65,145,,3.9,,,,9,N,3,7,1,53,50,37000
2,F,2,65,112,,4,3.97,750,700,7,Y,4,38,7,44,44,
2,M,3,78,215,85,3.4,,,,14,Y,14,20,1,49,51,40000
2,F,1,69,135,64,3.85,3.57,570,490,9.5,N,0,9,3,51,54,
2,F,1,64,120,,3.9,3.75,600,690,8,Y,3,12,2,52,52,30000
2,F,1,60,160,90,3.91,3.11,690,510,5.5,Y,0,3,1,41,43,30000
2,M,2,72,165,60,3.95,3,,,10,Y,10,10,2,46,52,22500
2,M,2,68,180,65,3.89,2.6,,,10.5,Y,0,18,2,49,48,25500
2,F,1,65,129,60,3.75,,,,8,Y,0.5,11,3,44,48,
